areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-08-21,6534
overview,United Kingdom,K02000001,2021-08-20,6523
overview,United Kingdom,K02000001,2021-08-19,6511
overview,United Kingdom,K02000001,2021-08-18,6467
overview,United Kingdom,K02000001,2021-08-17,6408
overview,United Kingdom,K02000001,2021-08-16,6384
overview,United Kingdom,K02000001,2021-08-15,6047
overview,United Kingdom,K02000001,2021-08-14,5886
overview,United Kingdom,K02000001,2021-08-13,5989
overview,United Kingdom,K02000001,2021-08-12,5961
overview,United Kingdom,K02000001,2021-08-11,6006
overview,United Kingdom,K02000001,2021-08-10,6021
overview,United Kingdom,K02000001,2021-08-09,6019
overview,United Kingdom,K02000001,2021-08-08,5858
overview,United Kingdom,K02000001,2021-08-07,5705
overview,United Kingdom,K02000001,2021-08-06,5754
overview,United Kingdom,K02000001,2021-08-05,5756
overview,United Kingdom,K02000001,2021-08-04,5793
overview,United Kingdom,K02000001,2021-08-03,6007
overview,United Kingdom,K02000001,2021-08-02,6216
overview,United Kingdom,K02000001,2021-08-01,5983
overview,United Kingdom,K02000001,2021-07-31,5959
overview,United Kingdom,K02000001,2021-07-30,6020
overview,United Kingdom,K02000001,2021-07-29,5987
overview,United Kingdom,K02000001,2021-07-28,6108
overview,United Kingdom,K02000001,2021-07-27,6099
overview,United Kingdom,K02000001,2021-07-26,6005
overview,United Kingdom,K02000001,2021-07-25,5649
overview,United Kingdom,K02000001,2021-07-24,5380
overview,United Kingdom,K02000001,2021-07-23,5313
overview,United Kingdom,K02000001,2021-07-22,5103
overview,United Kingdom,K02000001,2021-07-21,4931
overview,United Kingdom,K02000001,2021-07-20,4743
overview,United Kingdom,K02000001,2021-07-19,4652
overview,United Kingdom,K02000001,2021-07-18,4348
overview,United Kingdom,K02000001,2021-07-17,4232
overview,United Kingdom,K02000001,2021-07-16,4152
overview,United Kingdom,K02000001,2021-07-15,4039
overview,United Kingdom,K02000001,2021-07-14,3858
overview,United Kingdom,K02000001,2021-07-13,3674
overview,United Kingdom,K02000001,2021-07-12,3459
overview,United Kingdom,K02000001,2021-07-11,3183
